Designator,Mid X,Mid Y,Rotation,Layer
U58,121.125,-76.0,0.0,top
U59,192.375,-76.0,0.0,top
U6,95.0,0.0,0.0,top
U60,216.125,-76.0,0.0,top
U61,239.875,-76.0,0.0,top
U62,263.625,-76.0,0.0,top
U63,289.75,0.0,0.0,top
U64,308.75,0.0,0.0,top
U65,327.75,0.0,0.0,top
U66,289.75,-19.0,0.0,top
U67,308.75,-19.0,0.0,top
U68,327.75,-19.0,0.0,top
U69,308.75,-57.0,0.0,top
U7,114.0,0.0,0.0,top
U70,289.75,-76.0,0.0,top
U71,308.75,-76.0,0.0,top
U72,327.75,-76.0,0.0,top
U73,194.55,28.15,180.0,bottom
U74,109.2,33.65,180.0,bottom
U8,133.0,0.0,0.0,top
U9,152.0,0.0,0.0,top
U90,0.0,28.5,0.0,top
U91,38.0,28.5,0.0,top
U92,57.0,28.5,0.0,top
U93,76.0,28.5,0.0,top
U94,95.0,28.5,0.0,top
U95,123.5,28.5,0.0,top
U96,142.5,28.5,0.0,top
U97,161.5,28.5,0.0,top
U98,180.5,28.5,0.0,top
U99,209.0,28.5,0.0,top
Y1,324.225,-55.225,45.0,bottom
